Timestamp; robot ID; x coordinate; y coordinate; angle; current joint x; current joint y; previous joint x; previous joint y; it entry; age 
9055; 11; 13.3645; 6.92755; 74.9406; 13.0649; 6.8057; 0; 0; 7103; 1952
9055; 12; 13.9472; 6.57452; 73.1943; 13.6957; 6.58852; 0; 0; 7671; 1384
9055; 13; 14.3449; 6.28098; 76.3538; 13.9941; 6.21676; 14.3011; 6.63724; 8212; 843
9090; 1; 9.2028; 5.44031; 38.4644; 9.20903; 5.79285; 8.76361; 5.25733; 2456; 6634
9090; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7264
9090; 3; 9.90004; 5.51492; 45.0143; 9.58337; 5.46109; 0; 0; 2693; 6397
9090; 4; 9.98073; 6.443; 55.5251; 10.074; 5.97969; 0; 0; 4383; 4707
9090; 5; 12.07; 7.17451; 64.6608; 11.8952; 6.98334; 11.766; 7.47496; 5954; 3136
9090; 6; 10.4687; 6.79781; 61.3171; 10.294; 6.38404; 0; 0; 4641; 4449
9090; 7; 11.4407; 7.76885; 61.6047; 11.5907; 7.2839; 0; 0; 5869; 3221
9090; 8; 11.5125; 6.82553; 63.8268; 11.1561; 6.49191; 0; 0; 5538; 3552
9090; 9; 10.75; 6.19993; 57.2935; 10.712; 6.45713; 10.3324; 6.12674; 5425; 3665
9090; 10; 12.8042; 6.75151; 65.1553; 12.3816; 6.93221; 0; 0; 6488; 2602
9090; 11; 13.3556; 6.93284; 74.9637; 13.0508; 6.80202; 0; 0; 7103; 1987
9090; 12; 13.9487; 6.57927; 73.1563; 13.6894; 6.59923; 0; 0; 7671; 1419
9090; 13; 14.3468; 6.28551; 76.3142; 13.9877; 6.22747; 14.3076; 6.63752; 8212; 878
9111; 1; 9.20282; 5.44037; 38.4646; 9.19928; 5.7687; 8.76361; 5.25733; 2456; 6655
9111; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7285
9111; 3; 9.90302; 5.51408; 45.0027; 9.58049; 5.45887; 0; 0; 2693; 6418
9111; 4; 9.98287; 6.43911; 55.5338; 10.0796; 5.97701; 0; 0; 4383; 4728
9111; 5; 12.0671; 7.17807; 64.6607; 11.8928; 6.98773; 11.7591; 7.48029; 5954; 3157
9111; 6; 10.4749; 6.79644; 61.3064; 10.3033; 6.37713; 0; 0; 4641; 4470
9111; 7; 11.4395; 7.77305; 61.598; 11.5883; 7.2883; 0; 0; 5869; 3242
9111; 8; 11.5133; 6.82667; 63.8434; 11.1596; 6.49078; 0; 0; 5538; 3573
9111; 9; 10.7541; 6.19805; 57.2945; 10.7154; 6.45561; 10.3418; 6.11983; 5425; 3686
9111; 10; 12.8042; 6.75803; 65.1713; 12.3787; 6.93581; 0; 0; 6488; 2623
9111; 11; 13.3587; 6.94259; 74.9649; 13.0539; 6.81143; 0; 0; 7103; 2008
9111; 12; 13.944; 6.5954; 73.1949; 13.6927; 6.60928; 0; 0; 7671; 1440
9111; 13; 14.3418; 6.30166; 76.3536; 13.991; 6.23753; 14.2945; 6.65986; 8212; 899
9151; 1; 9.20282; 5.44036; 38.4645; 9.19928; 5.7687; 8.76361; 5.25733; 2456; 6695
9151; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7325
9151; 3; 9.90802; 5.51082; 44.9798; 9.58048; 5.45885; 0; 0; 2693; 6458
9151; 4; 9.99046; 6.43107; 55.5448; 10.0896; 5.97053; 0; 0; 4383; 4768
9151; 5; 12.077; 7.17148; 64.6607; 11.902; 6.98054; 11.7683; 7.4731; 5954; 3197
9151; 6; 10.5126; 6.78966; 61.1996; 10.3049; 6.37789; 0; 0; 4641; 4510
9151; 7; 11.4474; 7.76573; 61.6062; 11.5975; 7.28111; 0; 0; 5869; 3282
9151; 8; 11.5232; 6.82007; 63.8435; 11.1695; 6.48378; 0; 0; 5538; 3613
9151; 9; 10.764; 6.19149; 57.2944; 10.7213; 6.4642; 10.3433; 6.12059; 5425; 3726
9151; 10; 12.8112; 6.74864; 65.1557; 12.3886; 6.92921; 0; 0; 6488; 2663
9151; 11; 13.3627; 6.9304; 74.9649; 13.0579; 6.79924; 0; 0; 7103; 2048
9151; 12; 13.9524; 6.57961; 73.1731; 13.6966; 6.5971; 0; 0; 7671; 1480
9151; 13; 14.3505; 6.28584; 76.3309; 13.9949; 6.22514; 14.3079; 6.64044; 8212; 939
9171; 1; 9.20282; 5.44036; 38.4645; 9.19928; 5.7687; 8.76361; 5.25733; 2456; 6715
9171; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7345
9171; 3; 9.90648; 5.51182; 44.9868; 9.58048; 5.45885; 0; 0; 2693; 6478
9171; 4; 9.98773; 6.43328; 55.5432; 10.0865; 5.9725; 0; 0; 4383; 4788
9171; 5; 12.0739; 7.17351; 64.6607; 11.8995; 6.98311; 11.7658; 7.47567; 5954; 3217
9171; 6; 10.4839; 6.79196; 61.2985; 10.3108; 6.37244; 0; 0; 4641; 4530
9171; 7; 11.4447; 7.76789; 61.6046; 11.595; 7.28368; 0; 0; 5869; 3302
9171; 8; 11.5201; 6.82209; 63.8436; 11.166; 6.47502; 0; 0; 5538; 3633
9171; 9; 10.761; 6.19348; 57.2945; 10.7227; 6.4652; 10.3493; 6.11514; 5425; 3746
9171; 10; 12.8094; 6.75196; 65.1628; 12.3855; 6.93125; 0; 0; 6488; 2683
9171; 11; 13.3623; 6.93505; 74.965; 13.0574; 6.80383; 0; 0; 7103; 2068
9171; 12; 13.9591; 6.57878; 73.1385; 13.6962; 6.60179; 0; 0; 7671; 1500
9171; 13; 14.3572; 6.28501; 76.2964; 13.9945; 6.22985; 14.3216; 6.63406; 8212; 959
9178; 1; 9.2028; 5.44032; 38.4645; 9.20903; 5.78682; 8.76361; 5.25733; 2456; 6722
9178; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7352
9178; 3; 9.90763; 5.51058; 44.9806; 9.58555; 5.4579; 0; 0; 2693; 6485
9178; 4; 9.98902; 6.43017; 55.5478; 10.0889; 5.97019; 0; 0; 4383; 4795
9178; 5; 12.0754; 7.17102; 64.6608; 11.9006; 6.97985; 11.7714; 7.47149; 5954; 3224
9178; 6; 10.4774; 6.7889; 61.332; 10.3125; 6.37013; 0; 0; 4641; 4537
9178; 7; 11.4447; 7.76487; 61.6105; 11.5961; 7.28042; 0; 0; 5869; 3309
9178; 8; 11.5218; 6.81951; 63.8444; 11.1687; 6.48362; 0; 0; 5538; 3640
9178; 9; 10.7631; 6.19089; 57.2945; 10.7245; 6.44848; 10.351; 6.11283; 5425; 3753
9178; 10; 12.8097; 6.74847; 65.1569; 12.387; 6.92878; 0; 0; 6488; 2690
9178; 11; 13.3615; 6.93055; 74.9651; 13.0567; 6.79931; 0; 0; 7103; 2075
9178; 12; 13.9606; 6.57239; 73.127; 13.6954; 6.5973; 0; 0; 7671; 1507
9178; 13; 14.3587; 6.27863; 76.2849; 13.9937; 6.22537; 14.3255; 6.62577; 8212; 966
9210; 1; 9.20274; 5.44042; 38.4649; 9.20903; 5.78694; 8.76361; 5.25733; 2456; 6754
9210; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7384
9210; 3; 9.89885; 5.51646; 45.0189; 9.58552; 5.45799; 0; 0; 2693; 6517
9210; 4; 9.975; 6.44409; 55.5319; 10.0715; 5.98163; 0; 0; 4383; 4827
9210; 5; 12.0711; 7.1738; 64.6607; 11.8963; 6.98263; 11.7671; 7.47427; 5954; 3256
9210; 6; 10.4928; 6.80073; 61.2084; 10.295; 6.38182; 0; 0; 4641; 4569
9210; 7; 11.4419; 7.76817; 61.6046; 11.5919; 7.2832; 0; 0; 5869; 3341
9210; 8; 11.5112; 6.82635; 63.8157; 11.1503; 6.48348; 0; 0; 5538; 3672
9210; 9; 10.7461; 6.20246; 57.2925; 10.7078; 6.45998; 10.3335; 6.12452; 5425; 3785
9210; 10; 12.8077; 6.75314; 65.1683; 12.3828; 6.9315; 0; 0; 6488; 2722
9210; 11; 13.3592; 6.93172; 74.942; 13.0568; 6.80598; 0; 0; 7103; 2107
9210; 12; 13.9618; 6.56315; 73.0965; 13.6905; 6.59302; 0; 0; 7671; 1539
9210; 13; 14.3596; 6.26961; 76.256; 13.9889; 6.22127; 14.3327; 6.6113; 8212; 998
9233; 1; 9.20279; 5.44037; 38.4646; 9.19928; 5.7687; 8.76361; 5.25733; 2456; 6777
9233; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7407
9233; 3; 9.89968; 5.51588; 45.0166; 9.58042; 5.45886; 0; 0; 2693; 6540
9233; 4; 9.97652; 6.4429; 55.5324; 10.0725; 5.98103; 0; 0; 4383; 4850
9233; 5; 12.0636; 7.17997; 64.6607; 11.8887; 6.98907; 11.755; 7.48163; 5954; 3279
9233; 6; 10.4816; 6.80079; 61.2515; 10.2834; 6.39092; 0; 0; 4641; 4592
9233; 7; 11.4365; 7.7751; 61.596; 11.5842; 7.28964; 0; 0; 5869; 3364
9233; 8; 11.5079; 6.82979; 63.835; 11.1552; 6.48938; 0; 0; 5538; 3695
9233; 9; 10.7478; 6.20251; 57.2996; 10.7089; 6.47287; 10.3219; 6.13362; 5425; 3808
9233; 10; 12.8029; 6.76195; 65.1828; 12.3752; 6.93768; 0; 0; 6488; 2745
9233; 11; 13.3556; 6.94027; 74.9296; 13.0547; 6.81742; 0; 0; 7103; 2130
9233; 12; 13.9342; 6.58683; 73.2077; 13.6856; 6.5987; 0; 0; 7671; 1562
9233; 13; 14.3318; 6.29383; 76.3676; 13.9839; 6.22694; 14.2821; 6.65336; 8212; 1021
9233; 14; 14.7514; 6.02539; 79.5124; 14.3938; 5.94509; 0; 0; 9233; 0
